,Type,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Other Facilities,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Built in year,Parking Spaces,Floor,Lobby in Building,Elevators,Service Elevators in Building,Floor in Building,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,Community Swimming Pool,Community Gym,Swimming Pool,Sauna,Jacuzzi,Security Staff,Maintenance Staff,Facilities for Disabled,Laundry or Dry Cleaning Facility,Communal/Shared Kitchen,Storey Unit
16,Flat,1.85,2.0,6.1,2.0,Gulberg,Gulberg Heights 2bed Room 1370 Sqft 3th Floor Farmhouse facing Two floor car parking Gym facilities #House of Realtors (Pvt) ltd,"Built in year: 2022, Parking Spaces, Lobby in Building, Flooring, Electricity Backup, Floor, Floors in Building: 8, Elevators, Other Main Features","Bedrooms: 2, Bathrooms: 2, Servant Quarters, Dining Room, Kitchens: 1, Store Rooms, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities",Security Staff,False,False,False,False,1,2022.0,1.0,1.0,1.0,1.0,,8.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,,,,,2.0
29,Flat,1.78,2.0,4.5,2.0,Faisal Town - F-18,2 Bed Apartment Available For Sale. In Apollo Tower Project of Tanveer Associates. Faisal Town F-18 Block B Islamabad. Model Apartment Pictures are attached. Total Amount: Rs 1 Crore 78 Lacs 50 Thousand 40 % Down Payment: Rs 71 Lacs 40 Thousand 8 Quarterly Installments: Rs 13 Lacs 38 Thousand. Apartment Size 1080 Sq Ft. 2 Bedrooms. 2 Baths. TV Lounge. Kitchen. Lift Available. Maintenance Staff Available. Neat and Clean Environment in Tower. All Facilities Available. Interested People Can Contact Easily.,"Built in year: 2020, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Elevators: 2","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room",,,,"Security Staff, Other Facilities",False,False,False,False,0,2020.0,1.0,1.0,1.0,2.0,,,3.0,4.0,1.0,1.0,1.0,,,,,,1.0,,,,,
46,Flat,0.7,2.0,3.9,2.0,I-12,PHA Flat I-12 D-type available for sale Pakistan Housing Authority Government apartment Islamabad I-12 markaz for sale Pakistan Housing Authority Government apartment Islamabad I-12 markaz for sale The Flat is well-planned to accommodate family members with ease and comfort. You will be hard-pressed to find such a price of 7700Rs/sqfeet in the area. Two lifts Cargo and passenger Community center on main IJP road very best opportunity for investment 100% Secure investment because it's a government project no Road Connected to Kashmir high way near to possession 450sqfeet underground reserved Carparking A central location like I-12/1 is the best choice for living as it's close to all necessities.,"Built in year: 2, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 9, Floors in Building: 9, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 2, Servant Quarters, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities",Other Healthcare and Recreation Facilities,"Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,False,False,0,2.0,1.0,9.0,1.0,,,9.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
64,Flat,0.75,2.0,3.8,2.0,D-17,Margala view housing society d 17 Islamabad Barnd New Corner 2bedroom apartment available for sale Size 850 sqft 4th floor 2bedroom 2bathroom TV launch Kitchen All facility available,"Built in year, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building, Service Elevators in Building, Other Main Features",,,,,"Security Staff, Other Facilities",False,False,False,True,0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,
68,Flat,1.5,1.0,3.2,1.0,Park View City,"Elanza Creeks is an upcoming mixed-use development by Elanza Holdings Pvt. Ltd. , situated in the heart of Park View City, Islamabad. This project is strategically located in The Walk Commercial area, offering a blend of residential, commercial, and office spaces. Location & Accessibility Elanza Creeks enjoys a prime location within Park View City, providing easy access to major roads and landmarks: Approximately 16 km from Serena Hotel and 14 km from Rawal Chowk Commercial Spaces: Shops and offices with areas starting from 707 sq. ft. Penthouse: Exclusive top-floor unit with panoramic views The development spans a total area of 204,400 sq. ft. , with a built-up area of 115,066 sq. ft. Amenities & Features Elanza Creeks is designed to offer a luxurious and convenient lifestyle: Modern Design: Italian architectural style with high-quality finishes Facilities: High-speed elevators, double escalators, cargo lifts, and 24/7 security with CCTV surveillance Retail & Dining: Ground and lower ground floors feature shops, a food court, and a shopping mall Residential Comforts: Separate entrances for apartments, wide atriums, and lake-facing units Recreational Spaces: Rooftop garden with panoramic views, fitness center, and prayer areas Developer Profile Elanza Holdings Pvt. Ltd. is a reputable developer in Pakistan, known for its commitment to quality and timely delivery. They have previously completed projects like Arcadia Mall and Elanza Mall & Residency in Gulberg Greens, Islamabad . The company has received multiple awards from the Islamabad Chamber of Commerce & Industry (ICCI) for its excellence in construction and development","Built in year: 2026, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building: 9, Elevators, Service Elevators in Building, Other Main Features","Bedrooms, Bathrooms, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",True,False,False,False,0,2026.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,
75,Flat,0.95,2.0,5.8,2.0,Faisal Town - F-18,"2 Bed Apartment Available For Sale. In Faisal Town F-18 Islamabad Apartment Size 1300 Sq Ft. 2 Bedrooms. 2 Baths. TV Lounge. Kitchen. . Near to Park. Near to Markaz. Near to Mosque. Near to School. All Facilities Available. 24/7 Hour Security Service Of Sector Sector Location Guide: 500 meters From M-1 & M-2 Motorway , 5km From Airport , 7km From Metro Bus Station , 6km From G. T Road. Do Contact Us For Real Estate Services In F-17 & F-18 Faisal Town Islamabad. contact:","Built in year: 2023, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 8, Floors in Building: 12, Elevators: 6, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 2, Servant Quarters, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Allowed, Other Facilities",False,False,False,False,0,2023.0,1.0,8.0,1.0,6.0,1.0,12.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
78,Flat,0.6,2.0,3.9,2.0,I-12,PHA Flat I-12 D-type available for sale Pakistan Housing Authority Government apartment Islamabad I-12 markaz for sale Pakistan Housing Authority Government apartment Islamabad I-12 markaz for sale The Flat is well-planned to accommodate family members with ease and comfort. You will be hard-pressed to find such a price of 7700Rs/sqfeet in the area. Two lifts Cargo and passenger Community center on main IJP road very best opportunity for investment 100% Secure investment because it's a government project no Road Connected to Kashmir high way near to possession 450sqfeet underground reserved Carparking A central location like I-12/1 is the best choice for living as it's close to all necessities.,"Built in year: 2, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Floor: 2, Floors in Building: 9, Other Main Features","Bedrooms: 2, Bathrooms: 2, Servant Quarters: 11, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",Other Business and Communication Facilities,"First Aid or Medical Centre, Mosque",,"Maintenance Staff, Security Staff, Other Facilities",False,False,False,False,0,2.0,2.0,2.0,1.0,,,9.0,2.0,2.0,11.0,1.0,1.0,,,,,,1.0,1.0,,,,
81,Flat,4.35,3.0,11.6,3.0,F-11,"Fully Ranovated 3-bed 2,600 square feet (12 Marla) Apartment for sale in Sughra Tower near F-11 Markaz Islamabad. 3-bed 3-Bath Drawing & Dining 2nd Floor Markaz Facing Monthly Rental Value 2.5 lac for visit or more details Call / WhatsApp","Built in year: 2022, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building, Elevators, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Other Facilities",False,False,False,False,0,2022.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
84,Flat,1.75,3.0,7.3,3.0,D-17,"*Beautiful 3 bedroom Apartment For Sale In Pine Heights Luxury Apartments D-17, Islamabad. In coming rent 60 k per month* Key Features: - 24/7 security and lobby - 3 spacious bedrooms with 3 washrooms - Ground floor with outer view - 2 balconies with beautiful view and very well ventilated apartment - Modern kitchen with TV lounge and dining area - 1650 sqft - Extra Laundry Area on ground floor - Dedicated 2 cars Parking basement (2 levels) - Mosque, Fitness club and gym inside the building - Out class family living at a very reasonable price - There is no project of luxury apartments like this at this price in complete Islamabad - Markaz and J7 shopping mall across the road at 2 minutes walk - 15 minutes drive to Islamabad International Airport and Motorway - 15 minutes drive to F-11 Markaz through Margalla road or 20-25 minutes to Centaurus Mall or main Islamabad through Kashmir Highway Demand: Rs. 1.75 crore Ready to move in apartment excellent for family living Note: Only 2 apartments are left with the builder. Presently Builder has set a price of 15000 per square feet. So now the builder price of this 3 bed apartment is 2 crore 20 lac But we are selling at a reasonable price. Our Demand is 1 Crore 75 Lac So it's a very good deal and a very good family living","Built in year, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building, Service Elevators in Building, Other Main Features",,,,,Security Staff,False,False,False,False,0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,
96,Flat,4.15,5.0,13.3,4.0,DHA Defence,Assllam o Allaikum Askari Heights 04 DHA 05 Islamabad 1st floor 4 bedrooms flat available for sale 4 bedrooms with attached washrooms 1 drawing room 1 TV lounge 1 kitchen and Dirty Kitchen 1 Servant quater with attached washroom 1 Underground Big Car Garage 3 lifts are installed Brand new untouched front always open flat Demand 4 Crore 15 lacs Gulf Property zone,"Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities",Sauna,"Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",False,False,False,False,0,2025.0,1.0,,,,,,4.0,5.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0
