,Page,Title,Price,Location,Beds,Baths,Area,Badge,Date Added,URL
0,1,10 MARLA LUXURY BRAND NEW PARK FACE HOUSE AVAILABLE FOR SALE,PKR 12 Crore,"D-12/2, D-12",6.0,7.0,10 Marla,super hot,Added: 1 hour ago,https://www.zameen.com/Property/d_12_d-12_2_10_marla_luxury_brand_new_park_face_house_available_for_sale-52432761-3155-1.html
1,1,"4.44 Marla Single Unit Luxury Corner House With Open View CDA Sector D-12/1,",PKR 5.2 Crore,"D-12/1, D-12",3.0,4.0,4.4 Marla,super hot,Added: 1 hour ago,https://www.zameen.com/Property/d_12_d-12_1_4_44_marla_single_unit_luxury_corner_house_with_open_view_cda_sector_d-12_1-53019840-3154-1.html
2,1,"4.44 Marla Single Unit Luxury House CDA Sector D-12/4, Islamabad",PKR 4.3 Crore,"D-12/4, D-12",3.0,5.0,4.4 Marla,super hot,Added: 1 hour ago,https://www.zameen.com/Property/d_12_d-12_4_4_44_marla_single_unit_luxury_house_cda_sector_d-12_4_islamabad-52990354-3157-1.html
3,1,"5 Marla Double Unit Front-Open House for Sale in CDA Sector D-12/1, Islamabad",PKR 5.75 Crore,"D-12/1, D-12",5.0,6.0,5 Marla,super hot,Added: 1 hour ago,https://www.zameen.com/Property/d_12_d-12_1_5_marla_double_unit_front-open_house_for_sale_in_cda_sector_d-12_1_islamabad-52990287-3154-1.html
4,1,Brand New Designer House For sale in Sector H Back Open To Boulevard Extreme Top Location 3 Bedroom With attach Bath Bahria Enclave Islamabad,PKR 2.7 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3.0,4.0,5 Marla,super hot,Added: 1 hour ago,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_brand_new_designer_house_for_sale_in_sector_h_back_open_to_boulevard_extreme_top_location_3_bedroom_with_attach_bath_bahria_enclave_islamabad-53356650-11983-1.html
5,1,Double Storey House Is Available For Sale,PKR 3 Crore,"Jinnah Gardens, FECHS",5.0,6.0,7 Marla,super hot,Added: 2 hours ago,https://www.zameen.com/Property/fechs_jinnah_gardens_double_storey_house_is_available_for_sale-49808798-1420-1.html
6,1,5 Marla (25x50) Royal Design House For Sale G-14/4 Islamabad,PKR 5 Crore,"G-14/4, G-14",5.0,5.0,5 Marla,super hot,Added: 2 hours ago,https://www.zameen.com/Property/g_14_g-14_4_5_marla_25x50_royal_design_house_for_sale_g-14_4_islamabad-52620147-3346-1.html
7,1,10 Marla House For Sale Bani Gala Islamabad,PKR 4 Crore,"Bani Gala, Islamabad",5.0,5.0,10 Marla,super hot,Added: 4 hours ago,https://www.zameen.com/Property/islamabad_bani_gala_10_marla_house_for_sale_bani_gala_islamabad-53171975-340-1.html
8,1,Brand New Double Storey House For Sale In Bani Gala,PKR 4 Crore,"Bani Gala, Islamabad",6.0,6.0,10 Marla,super hot,Added: 4 hours ago,https://www.zameen.com/Property/islamabad_bani_gala_brand_new_double_storey_house_for_sale_in_bani_gala-53238172-340-1.html
9,1,7.25 marla House for sale bani gala,PKR 3.65 Crore,"Bani Gala, Islamabad",4.0,6.0,7 Marla,super hot,Added: 4 hours ago,https://www.zameen.com/Property/islamabad_bani_gala_7_25_marla_house_for_sale_bani_gala-53172266-340-1.html
10,1,Sector H 5 Marla House On Main Boulevard Available On Reasonable Price,PKR 2.1 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3.0,4.0,5 Marla,hot,Added: 1 hour ago,https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_h_sector_h_5_marla_house_on_main_boulevard_available_on_reasonable_price-53357993-11983-1.html
11,1,"1 Kanal Beautiful House For Sale DHA Phase 2, Islamabad",PKR 12.7 Crore,"DHA Defence Phase 2, DHA Defence",5.0,6.0,1 Kanal,hot,Added: 2 hours ago,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_beautiful_house_for_sale_dha_phase_2_islamabad-52636314-339-1.html
12,1,Brand New CDA LOP Clear House Is Available In Jinnah Garden Phase 1 Islamabad,PKR 2.3 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",3.0,3.0,6 Marla,hot,Added: 9 minutes ago,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_brand_new_cda_lop_clear_house_is_available_in_jinnah_garden_phase_1_islamabad-50749209-1421-1.html
13,1,Gulberg Heights 1 Bedroom Apartment With Balcony,PKR 1.05 Crore,"Gulberg Heights, Gulberg Greens",1.0,1.0,2.9 Marla,hot,Added: 24 minutes ago,https://www.zameen.com/Property/gulberg_greens_gulberg_heights_gulberg_heights_1_bedroom_apartment_with_balcony-53271311-19298-1.html
14,1,House For Sale In D-17/3 Islamabad 177 Sq Yards | Beautiful Dam View | Solar Powered,PKR 2.5 Crore,"D-17, Islamabad",4.0,4.0,7.1 Marla,hot,Added: 24 minutes ago,https://www.zameen.com/Property/islamabad_d-17_house_for_sale_in_d-17_3_islamabad_177_sq_yards_beautiful_dam_view_solar_powered-53274772-737-1.html
15,1,7 Marla House For Sale In Jinnah Garden Islamabad,PKR 3.15 Crore,"Jinnah Gardens, FECHS",5.0,6.0,7 Marla,hot,Added: 33 minutes ago,https://www.zameen.com/Property/fechs_jinnah_gardens_7_marla_house_for_sale_in_jinnah_garden_islamabad-53355586-1420-1.html
16,1,10 Kanal Brand New Luxury Palace For Sale In Gulberg Green Islamabad,PKR 85 Crore,"Gulberg Greens, Gulberg",8.0,7.0,10 Kanal,hot,Added: 34 minutes ago,https://www.zameen.com/Property/gulberg_gulberg_greens_10_kanal_brand_new_luxury_palace_for_sale_in_gulberg_green_islamabad-52534258-8312-1.html
17,1,Owner Built CDA LOP Clear Double Storey House In Jinnah Garden Phase 1 Islamabad,PKR 2.8 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",5.0,6.0,8 Marla,,Added: 8 minutes ago,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_owner_built_cda_lop_clear_double_storey_house_in_jinnah_garden_phase_1_islamabad-52149182-1421-1.html
18,1,Brand New CDA LOP clear Single Storey House Is Available In Jinnah Garden Phase 1 Islamabad,PKR 2.4 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",2.0,3.0,8 Marla,,Added: 8 minutes ago,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_brand_new_cda_lop_clear_single_storey_house_is_available_in_jinnah_garden_phase_1_islamabad-52584111-1421-1.html
19,1,Brand New Double Storey CDA Approved House In Jinnah Garden Phase 1 Islamabad,PKR 3.4 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",5.0,6.0,8 Marla,,Added: 9 minutes ago,https://www.zameen.com/Property/jinnah_gardens_jinnah_gardens_phase_1_brand_new_double_storey_cda_approved_house_in_jinnah_garden_phase_1_islamabad-52632039-1421-1.html
20,1,Gulberg Heights 2 Bedroom Apartment,PKR 1.85 Crore,"Gulberg Heights, Gulberg Greens",2.0,2.0,6.1 Marla,,Added: 24 minutes ago,https://www.zameen.com/Property/gulberg_greens_gulberg_heights_gulberg_heights_2_bedroom_apartment-53271357-19298-1.html
21,1,Luxury Home for Sale in D-17/3 Islamabad: Your Dream Dam View & Solar-Powered Oasis!,PKR 2.5 Crore,"D-17, Islamabad",5.0,4.0,7 Marla,,Added: 24 minutes ago,https://www.zameen.com/Property/islamabad_d-17_luxury_home_for_sale_in_d-17_3_islamabad_your_dream_dam_view_solar-powered_oasis-53326392-737-1.html
22,1,Beautiful Location House 4 Bedrooms,PKR 16 Crore,"F-11/3, F-11",5.0,6.0,1 Kanal,,Added: 34 minutes ago,https://www.zameen.com/Property/f_11_f-11_3_beautiful_location_house_4_bedrooms-53055829-3284-1.html
23,1,House For Sale 400Sq. yd in F/11,PKR 14.5 Crore,"F-11, Islamabad",6.0,7.0,16 Marla,,Added: 37 minutes ago,https://www.zameen.com/Property/islamabad_f-11_house_for_sale_400sq_yd_in_f_11-53108705-163-1.html
24,1,Corner House For Sale In CDA Sector Islamabad F/11,PKR 22 Crore,"F-11, Islamabad",6.0,7.0,1 Kanal,,Added: 37 minutes ago,https://www.zameen.com/Property/islamabad_f-11_corner_house_for_sale_in_cda_sector_islamabad_f_11-53108672-163-1.html
25,2,8 Marla Designer Luxury white House Triple Storey Available For Sale,PKR 9.75 Crore,"D-12/1, D-12",7.0,7.0,8 Marla,super hot,Added: 1 hour ago,https://www.zameen.com/Property/d_12_d-12_1_8_marla_designer_luxury_white_house_triple_storey_available_for_sale-53112796-3154-1.html
26,2,8 MARLA LUXURY DOUBLE UNIT HOUSE AVAILABLE FOR SALE,PKR 8.75 Crore,"D-12/2, D-12",4.0,6.0,8 Marla,super hot,Added: 1 hour ago,https://www.zameen.com/Property/d_12_d-12_2_8_marla_luxury_double_unit_house_available_for_sale-53111503-3155-1.html
27,2,Brand New Luxury House For Sale In Faisal Town Block C,PKR 2.6 Crore,"Faisal Town - F-18, Islamabad",4.0,5.0,5 Marla,super hot,Added: 2 hours ago,https://www.zameen.com/Property/islamabad_faisal_town_-_f-18_brand_new_luxury_house_for_sale_in_faisal_town_block_c-53172009-8260-1.html
28,2,8 Marla Double Story House for Sale in G-13,PKR 4.85 Crore,"G-13, Islamabad",5.0,7.0,8 Marla,super hot,Added: 2 hours ago,https://www.zameen.com/Property/islamabad_g-13_8_marla_double_story_house_for_sale_in_g-13-53301209-330-1.html
29,2,Reasonable Price Prime Location Near To Commercial Near To Masjid Near To Aps School Near To Park,PKR 10 Crore,"DHA Phase 2 - Sector D, DHA Defence Phase 2",6.0,7.0,1 Kanal,super hot,Added: 3 hours ago,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_-_sector_d_reasonable_price_prime_location_near_to_commercial_near_to_masjid_near_to_aps_school_near_to_park-53261784-3199-1.html
