Scraped_URL,Real Location,Type,Price,Bath(s),Area,Purpose,Bedroom(s),Added,Location,Description,Amenities: Main Features,Amenities: Business and Communication,Amenities: Community Features,Amenities: Nearby Locations and Other Facilities,Amenities: Other Facilities,Amenities: Rooms,Amenities: Healthcare Recreational,Initial Amount,Monthly Installment,Remaining Installments
https://www.zameen.com/Property/islamabad_d-12_5_marla_brand_new_house_for_sale-53075786-160-1.html,"D-12, Islamabad",House,PKR5.65 Crore,4,5 Marla,For Sale,3,3 weeks ago,"D-12, Islamabad, Islamabad Capital",Size 25*50 Single unit house 3 beds with attach bath 1 drawing 2 lounge 1 kitchen 1 servant quarter 2 car parking 50 feet road Margalla facing Direct deal to allotted,"Built in year: 2025, Parking Spaces: 1, Flooring, Electricity Backup, Waste Disposal, Other Main Features","Broadband Internet Access, Satellite or Cable TV Ready","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff",,,,,
https://www.zameen.com/Property/islamabad_diplomatic_enclave_here_s_a_description_diplomatic_enclave_luxurious_2-bedroom_semi-furnished_apartment_for_sale_in_diplomatic_enclave_islamabad-52691339-429-1.html,"Diplomatic Enclave, Islamabad",Flat,PKR7.2 Crore,2,6.5 Marla,For Sale,2,4 months ago,"Diplomatic Enclave, Islamabad, Islamabad Capital","Luxurious 2-Bedroom Semi-Furnished Apartment for Sale in Diplomatic Enclave, Islamabad ## Location Diplomatic Enclave, Islamabad (prestigious and secure neighborhood) Details - 2 spacious bedrooms - Semi-furnished with modern fixtures and amenities - Newly renovated with high-quality finishes - Secure building with 24/7 security Features - Prime location with easy access to key areas - Modern amenities and facilities - Peaceful and serene environment - Excellent investment opportunity Ideal for Those seeking a luxurious and secure lifestyle in a prime location. Contact us for more information or to schedule a viewing. Own a piece of luxury in Islamabad's most sought-after neighborhood!","Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Furnished","Broadband Internet Access, Satellite or Cable TV Ready","Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Kids Play Area, Community Centre","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)","Maintenance Staff, Security Staff","Bedrooms: 2, Bathrooms: 2, Drawing Room, Dining Room, Kitchens: 1, Gym, Lounge or Sitting Room, Laundry Room",,,,
https://www.zameen.com/Property/islamabad_karakoram_diplomatic_enclave_diplomatic_enclaves_luxurious_3-bedroom_fully_furnished_corner_apartment_for_sale_in_karakoram_diplomatic_enclave-52691381-9063-1.html,"Karakoram Diplomatic Enclave, Islamabad",Flat,PKR13.25 Crore,4,11.8 Marla,For Sale,3,1 month ago,"Karakoram Diplomatic Enclave, Islamabad, Islamabad Capital","Luxurious 3-Bedroom Fully Furnished Corner Apartment for Sale in Karakoram Diplomatic Enclave Location Karakoram Diplomatic Enclave (prestigious and secure neighborhood) Details - 3 spacious bedrooms - 2660 sqft living area - Two-side corner apartment with stunning hill views - Fully furnished with modern fixtures and amenities Features - Secure and serene environment - Prime location with scenic views - Luxurious living experience with high-end finishes - Ideal for diplomats, expats, or high-end residents Rental Value 2500-3000 USD Contact us for more information or to schedule a viewing. Own a luxurious, fully furnished corner apartment with breathtaking views!","Lobby in Building, Central Air Conditioning, Central Heating, Waste Disposal, Service Elevators in Building","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Other Facilities",,,,,
https://www.zameen.com/Property/islamabad_diplomatic_enclave_diplomatic_enclave_luxurious_3-bedroom_furnished_apartment_in_diplomatic_enclave_islamabad-52577288-429-1.html,"Diplomatic Enclave, Islamabad",Flat,PKR5.4 Crore,3,7.3 Marla,For Sale,3,4 months ago,"Diplomatic Enclave, Islamabad, Islamabad Capital","Details - 3 spacious bedrooms with modern amenities - Covered area: 1650 sq ft - Lower ground floor - Fully furnished for ultimate comfort and convenience Coming Rent $1800 per month Sale Details - City transfer property - Demand: PKR 55 million Why Diplomatic Enclave? - Gated community with 24/7 security - Prestigious address in Islamabad's most sought-after neighborhood - Close proximity to diplomatic missions, international organizations, and key amenities - Peaceful and serene environment Ideal for Diplomats, expats, or high-profile individuals seeking a luxurious and secure lifestyle. Schedule a viewing today! Don't miss this opportunity to experience the epitome of luxury living in Islamabad's most desirable neighborhood.","Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Flooring, Floor: 1, Furnished","Broadband Internet Access, Satellite or Cable TV Ready","Community Lawn or Garden, Community Swimming Pool, Kids Play Area, Barbeque Area","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities","Bedrooms: 3, Bathrooms: 3, Drawing Room, Dining Room, Kitchens: 1, Powder Room, Store Rooms: 1, Lounge or Sitting Room",Jacuzzi,,,
https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_c_5_marla_furnished_house_in_block_c_faisal_town_f-18_islamabad-53313191-16418-1.html,"Faisal Town Phase 1 - Block C, Faisal Town Phase 1",House,PKR2.7 Crore,4,5 Marla,For Sale,4,3 months ago,"Faisal Town - F-18, Islamabad, Islamabad Capital","5 Marla FURNISHED HOUSE. Brand New House Available For Sale. In Faisal Town F-18 Block C Islamabad. House Dimension: 25*50. 4 Bedrooms. 4 Baths. 2 Drawing Dining. 2 TV Lounge. 2 Kitchen. 1 Car Parking Space. Near to Markaz. Near to Park. Near to Masjid. Electricity , Water and Available. Interested People Can Contact Easily. Faisal Town is a Good Society for Residence and Investment. Because Developed and Constructed Society. Masjid , Markaz , Bank , Schools , Hospital Available. Transparent Dealing. MBM Real Estate & Builders Interested People Can Contact Easily.","Parking Spaces: 1, Flooring, Floors: 2","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled","Bedrooms: 4, Bathrooms: 4, Drawing Room, Dining Room, Kitchens: 2, Lounge or Sitting Room, Laundry Room","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities",,,
https://www.zameen.com/Property/islamabad_g-13_g13_islamabad_25_40_brand_new_house_for_sale-53294989-330-1.html,"G-13, Islamabad",House,PKR3.65 Crore,4,4 Marla,For Sale,4,4 months ago,"G-13, Islamabad, Islamabad Capital",*G-13* Islamabad G-13 Islamabad 25*40 Brand New House available for sale Tiles flooring Heighted location Beautiful constructed house Double Story House 4 Beds attached bath 2 Tv laundge Top flour servant room with attached bath 2 kitchen separate 1 Car parking space Bore available Demand 4.15 For more details,"Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Security Staff, Other Facilities","Bedrooms: 4, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities",,,
https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_5_marla_brand_new_double_storey_full_house_available_for_sale_proper_corner_b-17_islamabd-53314731-8527-1.html,"MPCHS - Block F, MPCHS - Multi Gardens",House,PKR2.45 Crore,5,5 Marla,For Sale,4,3 months ago,"B-17, Islamabad, Islamabad Capital","5 Marla Double Unit House Available. For sale House b-17 Islamabd. House Size 30*60. Luxury house A+ construction Double Story. Double Unit. Near to masque 4 Bedrooms. 6 Baths. 2 Drawing Dining. 2 Kitchen. 2 Study Rooms. Mumty + Washroom. Car Parking Space. Gas, Water Available Water Bore. Double Unit Investor Rate Ideal Location. Reasonable Price. proper corner House B-17 is a Good Society for Residence. Because Neat and Clean. 24 Hours Security. All Basic and Necessary Facilities Available. Interested People Can Contact Easily.","Built in year: 2005, Parking Spaces: 2, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal","Broadband Internet Access, Satellite or Cable TV Ready","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places",,,,,,
https://www.zameen.com/Property/b_17_mpchs_-_multi_gardens_5_marla_brend_new_double_store_full_house_available_for_sale_b-17_islamabd-53307610-3115-1.html,"MPCHS - Multi Gardens, B-17",House,PKR2.3 Crore,-,5 Marla,For Sale,-,3 months ago,"B-17, Islamabad, Islamabad Capital","5 Marla Double Unit House Available. For Rent in B-17 Islamabd. House Size 26*50 Luxury house A+ construction Double Story. Double Unit. Near to masque 4 Bedrooms. 6 Baths. 2 Drawing Dining. 2 Kitchen. 2 Study Rooms. Mumty + Washroom. Car Parking Space. Gas, Water Available Water Bore. Double Unit Investor Rate Ideal Location. Reasonable Price. 23000000 proper corner B-17 is a Good Society for Residence. Because Neat and Clean. 24 Hours Security. All Basic and Necessary Facilities Available. Interested People Can Contact Easily.","Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff","Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities",,,
https://www.zameen.com/Property/fechs_jinnah_gardens_jinah_garden_7_marla_30x60_lop_clear_house_for_sale-53314749-1420-1.html,"Jinnah Gardens, FECHS",House,PKR3.1 Crore,7,7 Marla,For Sale,5,5 months ago,"FECHS, Islamabad, Islamabad Capital",Jinah Garden 7 Marla Lop Clear House For Sale Upper Portion Is Fully Furnished Soller Install Reasonable Price Ground Floor rent Out 50 K,"Built in year: 2018, Parking Spaces, Flooring, Floors, Furnished","Broadband Internet Access, Satellite or Cable TV Ready","Community Lawn or Garden, Community Swimming Pool, Community Gym, Mosque, Community Centre","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Nearby Public Transport Service, Other Nearby Places",Security Staff,"Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Store Rooms: 1, Other Rooms",,,,
https://www.zameen.com/Property/bahria_enclave_cube_apartments_cube_apartment_one_bedroom_available_for_sale-52774779-21520-1.html,"Cube Apartments, Bahria Enclave",Flat,PKR1.04 Crore,2,5 Marla,For Sale,1,2 weeks ago,"Bahria Town, Islamabad, Islamabad Capital",Cube Apartment One Bedroom Apartment Beautiful Terrace View Car Parking Peaceful Environment Attractive and Splendid Views All Living Facilities and Amenities are Available Secure Living Standards 24 7 Power Supply and Many More Come and avail this opportunity because all basic requirements are available at your door step Contact us for More Details,"Built in year: 2022, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 2, Floors in Building: 10, Elevators: 4, Service Elevators in Building, Other Main Features, Furnished","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Pets Allowed, Other Facilities","Bedrooms: 1, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities",,,
