Scraped_URL,Real Location,Type,Price,Bath(s),Area,Purpose,Bedroom(s),Added,Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Healthcare Recreational,Amenities: Nearby Locations and Other Facilities,Amenities: Community Features,Amenities: Other Facilities,Initial Amount,Monthly Installment,Remaining Installments
https://www.zameen.com/Property/islamabad_f-8_investor_rate_house_is_for_sale_in_f-8-52883726-166-1.html,"F-8, Islamabad",House,PKR25 Crore,6,1 Kanal,For Sale,5,6 months ago,"F-8, Islamabad, Islamabad Capital","Chohan HAY Estate Offers: - Neat & Clean House for Sale - 5 Bedrooms with Attached Modern Bathrooms - Drawings, Dinings and TV Lounges - Enriched by High-Quality Finishes and Interior Highlights and Family Rooms - Modern & Elegant Kitchen, Handsome Cabinetry with Quartz Counter-tops - Modern Baths with Separate Rain Shower Cabin and Imported Features - AC Units - Marble Flooring - Green Lush Lawn - Servant Quarters - Car Parking Space - Peaceful and Highly Secured Living Area - Great Opportunity, Don't Waste your Time Just Grab this Opportunity - Best Investment Opportunity - Reasonable Demand For more information and additional options, kindly call on the mentioned number or visit Chohan HAY Estate","Parking Spaces, Double Glazed Windows, Waste Disposal","Bedrooms: 5, Bathrooms: 6, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Powder Room, Store Rooms, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom",Lawn or Garden,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places",,,,,
https://www.zameen.com/Property/soan_garden_soan_garden_-_block_e_1_kanal_brand_new_double_unit_house_for_sale_7_bedrooms_near_to_imarat_mall-52419152-3495-1.html,"Soan Garden - Block E, Soan Garden",House,PKR7.5 Crore,6,1 Kanal,For Sale,7,1 week ago,"Soan Garden, Islamabad, Islamabad Capital","1 KANAL BRAND NEW DOUBLE STORY HOUSE FOR SALE 2 KM DISTANCE TO EXPRESS WAY CARPET STREET E BLOCK 53x85 DIMENSION 6 BEDROOM ATTACHED BATHROOM 2 TV LOUNGE 2 DRAWING AND DINING ROOM WITH BATH 2 KITCHEN WITH SERVICE ROOM SARVENT WITH BATH 2 STORE ROOM 2 SEPARATE WATER TANK OVERHEAD & UNDERGROUND WITHOUT GAS 2 ELECTRIC METER NEAR TO MASJID, HIGHWAY, MARKET DEMAND 7.95","Built in year: 2025, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 6, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities",Lawn or Garden,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Maintenance Staff, Security Staff, Other Facilities",,,
https://www.zameen.com/Property/f_6_f-6_2_f-6_brand_new_luxury_house_for_sale_prime_location_tripple_story-52452027-3300-1.html,"F-6/2, F-6",House,PKR90 Crore,6,2 Kanal,For Sale,9,6 months ago,"F-6, Islamabad, Islamabad Capital","Luxury House for Sale F-6/2, Islamabad Prime Location: Street Size: 1000 Sq. Yards (100/90) 3 Storeys | Lift | Spacious Bedrooms Swimming Pool | Jacuzzi | Sauna Home Theatre | Private Gym Central Heating & Cooling Rooftop with Stunning Margalla Hills View Single Owner | Clear Documents Demand: 90 Crore A premium residence in Islamabads most sought-after sector, offering luxury, comfort, and breathtaking views. A beautifully designed, high-end property in one of Islamabads most prestigious sectors. Featuring top-tier amenities, modern architecture, and a peaceful environment.","Built in year: 2022, Parking Spaces: 01, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 9, Bathrooms: 10, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 01, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/f_7_f-7_2_f-7_two_kanal_house_for_sale-51617517-3308-1.html,"F-7/2, F-7",House,PKR45 Crore,6,2 Kanal,For Sale,6,6 months ago,"F-7, Islamabad, Islamabad Capital",MORE DETAILS CONTACT PIC JUST FOE VIEW,"Built in year: 2025, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 1, Other Main Features","Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_c_5_marla_brand_new_house_available_for_sale_in_faisal_town_phase_1_of_block_c_islamabad_pakistan-52153099-16418-1.html,"Faisal Town Phase 1 - Block C, Faisal Town Phase 1",House,PKR2.75 Crore,5,5 Marla,For Sale,5,3 months ago,"Faisal Town - F-18, Islamabad, Islamabad Capital",5 Marla Brand New House available for Sale in Faisal Town phase 1 of Block C Islamabad 5 Bedrooms 5 Bathrooms 2 kitchens 2 Tv lounge 1 car parking Price demand 275 lacs for more info contact with,"Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_g_8_marla_elegant_house_available_for_sale_on_prime_location_in_reasonable_price-53232588-11984-1.html,"Bahria Enclave - Sector G, Bahria Enclave",House,PKR3.2 Crore,5,8 Marla,For Sale,5,5 months ago,"Bahria Town, Islamabad, Islamabad Capital","8 Marla House Available for Sale in Sector G A beautifully designed and well-maintained 8 Marla house is available for sale in the prime location of Sector G. This property offers a perfect blend of modern architecture, top-quality construction, and a peaceful environment ideal for comfortable family living or a valuable long-term investment. Property Features: Spacious bedrooms with attached bathrooms Modern kitchen with high-quality fittings Drawing and dining area with elegant finishing TV lounge for family gatherings Servant quarter and laundry area Wide car porch and beautiful green lawn Solid construction with premium materials Location Highlights: Situated in the heart of Sector G, a well-developed and secure area Near schools, parks, shopping centers, and main roads Peaceful neighborhood with easy access to all facilities Ideal for residence or investment with excellent future value Location: Sector G Size: 8 Marla Status: For Sale Contact: Tofeeq Leghari","Built in year: 2024, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 1, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 3, Drawing Room, Dining Room, Kitchens, Store Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom",,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Community Lawn or Garden, Kids Play Area, Barbeque Area, Mosque","Security Staff, Other Facilities",,,
https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_b1_brand_new_5_marla_house_with_10kv_solar_installed_available_for_sale_on_prime_location_and_reasonable_price-53235612-11972-1.html,"Bahria Enclave - Sector B1, Bahria Enclave",House,PKR2.85 Crore,4,5 Marla,For Sale,3,5 months ago,"Bahria Town, Islamabad, Islamabad Capital","5 10 & Property Details: Size: 5 Marla Bedrooms: 3 spacious bedrooms with attached baths Living Space: Bright TV lounge & drawing room Kitchen: 1 modern kitchens Parking: Secure car porch Extra: Terrace & laundry area Features: Tile flooring Fresh paint & maintenance done 24/7 water, gas, and electricity Near schools, markets, parks & public transport location: Contact: View Contact Detail","Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 3, Bathrooms: 4, Kitchens: 1, Store Rooms: 1, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_flat_for_sale_in_askari_heights_4_dha_phase_5-52807656-21450-1.html,"Askari Heights 4, DHA Phase 5 - Sector H",Flat,PKR3 Crore,4,10 Marla,For Sale,3,1 month ago,"DHA Defence, Islamabad, Islamabad Capital",Newly Constructed Flat For Sale In DHA 5 Askari Heights 4 Ideal Location Best Option For Leaving Further Information Please Contact Us ESTATE INVESTMENT,"Built in year: 1, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Floor: 1, Floors in Building: 1, Elevators: 1, Other Main Features","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Maintenance Staff, Security Staff, Facilities for Disabled",,,
https://www.zameen.com/Property/islamabad_top_city_1_double_road_front_back_open_brand_new_luxury_house-53116968-1383-1.html,"Top City 1, Islamabad",House,PKR5 Crore,6,10 Marla,For Sale,6,3 months ago,"Top City 1, Islamabad, Islamabad Capital","Front Back Open House for Sale Block D, Top City A premium Front Back Open house located on a wide double road in Block D, Top City, offering an ideal combination of beauty, comfort, and strength. This house is built on a solid structure with top-notch planning and finishing every detail reflects quality. Key Features: Prime front back open location on double road Solid construction with modern architectural design Spacious layout with excellent ventilation & natural light High-quality fittings & fixtures (A++ Category) Beautiful elevation giving the house a graceful look Peaceful environment with all facilities nearby This is not just a house, its a perfect choice for families seeking both luxury and durability in one place. Location Advantage: Situated in Block D, Top City one of the most sought-after areas, offering easy access to main roads, schools, mosques, parks, and commercial zones.","Built in year: 2025, Parking Spaces: 2, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 6, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities",Lawn or Garden,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_brand_new_house_for_sale_block_a-53147042-9231-1.html,"Top City 1 - Block A, Top City 1",House,PKR4.3 Crore,6,10 Marla,For Sale,6,3 months ago,"Top City 1, Islamabad, Islamabad Capital","For Sale Brand New Luxury House in TopCity-1, Block A Presenting a brand new, ultra-modern designer house in the prestigious Block A of TopCity-1. This residence is a true symbol of elegance and comfort, built with solid construction and finished with high-end fittings. Key Highlights: Prime location in Block A one of the most sought-after sectors. Stylish modern architecture & unique design. Spacious layout with premium finishes and imported fixtures. Built for a luxury lifestyle with attention to every detail. Beautiful elevation offering a perfect blend of elegance & class. Ideal for families seeking a peaceful yet upscale environment. Demand: PKR 4.50 Crore This is one of the best houses in Block A, offering unmatched value, design, and location. Dont miss the chance to own this premium residence!","Built in year: 2025, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Flooring, Electricity Backup, Waste Disposal, Floors: 2","Bedrooms: 6, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom","Lawn or Garden, Swimming Pool, Jacuzzi","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
