Scraped_URL,Real Location,Type,Price,Bath(s),Area,Purpose,Bedroom(s),Added,Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Nearby Locations and Other Facilities,Amenities: Other Facilities,Initial Amount,Monthly Installment,Remaining Installments
https://www.zameen.com/Property/islamabad_e-7_modern_brand-new_swimming_pool_house_is_for_sale-52561985-343-1.html,"E-7, Islamabad",House,PKR75 Crore,7,1.6 Kanal,For Sale,6,2 months ago,"E-7, Islamabad, Islamabad Capital","Chohan HAY Estate Offers: - E-7 Brand New House - Basement, Ground, and Upper Floor - 6 Bedrooms with Modern Attached Bathrooms - Drawing, Dining, and TV Lounge - High-quality Finishes, Enriching Interiors, and Family Rooms with Walk-in Closets - Elegant Modern Kitchens with Quartz Countertops, Cabinetry, and Appliances (Refrigerator, Garbage Disposal, Microwave) - Luxurious Bathrooms with Roman Showers, Separate Shower Cabins, Vanities, and Premium Fixtures - Enjoyable Swimming Pool - Elevator Lift - Ceiling Roof - Flooring with Imported Tiles - Outdoor Lawn - Servant Quarters - Parking Area - Rooftop - Views of Margalla Hills and Sunset - Serene and Highly Secure Living Environment - An Outstanding Opportunity: Seize It Without Delay For Further Details and Additional Choices, Feel Free to Contact the Provided Numbers or Visit Chohan HAY Estate.","Built in year: 2025, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 6, Bathrooms: 7, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/d_12_d-12_4_d-12_4_brand_new_designer_house_for_sale-52661763-3157-1.html,"D-12/4, D-12",House,PKR4.4 Crore,4,4.4 Marla,For Sale,4,5 days ago,"D-12, Islamabad, Islamabad Capital","Details: D-12/4 Size 25*40.4. 4 Marla Price 4.40 Cr Investor Rate Accommodations and Facilities: 4 Beds with Attached Baths TV Lounge kitchen Servant Quarter Car Parking Electric Meters Water Boring Solid Construction, Best Quality windows, Wooden Doors, Stylish Roof Selling, Best Sanitary work etc Top location , VIP Area, Near Family Park, Markaz, Masjid, Service Road and many more. Neat and Clean Environment. Best Option for Living For More Information, Please Contact. Note: Our Special Sectors: D-12, E-12, E-11 and C-14,15,16 We are Dealing in all types of Properties. Residential/Commercial in all CDA Sectors THANKS To Connecting Us","Built in year: 2025, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 4, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_b_17_f_block_designer_house_25x50_for_sale-53334961-8527-1.html,"MPCHS - Block F, MPCHS - Multi Gardens",House,PKR2.25 Crore,5,5 Marla,For Sale,4,1 month ago,"B-17, Islamabad, Islamabad Capital","""Luxury 5 Marla Designer House in F Block, B-17"" ""Elegant Designer Double Unit 5 Marla, F Block B-17""","Built in year: 2021, Parking Spaces: 2, Flooring, Electricity Backup, Waste Disposal, Floors: 2","Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room",,"Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque",Lawn or Garden,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service","Maintenance Staff, Security Staff, Facilities for Disabled",,,
https://www.zameen.com/Property/islamabad_bani_gala_beautiful_brand_new_house-53335025-340-1.html,"Bani Gala, Islamabad",House,PKR1.38 Crore,4,5 Marla,For Sale,3,3 months ago,"Bani Gala, Islamabad, Islamabad Capital",5 Marla Semi Double 3 Bedrooms 4 Baths Drawing Tv Lounge Kitchen Mumty Laundry Car Parking,"Built in year: 2021, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/islamabad_mumtaz_city_luxury_apartments_in_mumtaz_city_below_market_rates_2-year_installments-52023810-3464-1.html,"Mumtaz City, Islamabad",Flat,PKR2.4 Crore,3,7.1 Marla,For Sale,3,3 days ago,"Mumtaz City, Islamabad, Islamabad Capital","Luxury Apartments in Mumtaz City, Islamabad Best Time to Invest Below Market Rates! Apartment Options: 2-Bedroom Apartments: Sizes: 1,172 sqft to 2,200 sqft 3-Bedroom Apartments: Sizes: 1,600 sqft to 2,560 sqft 4-Bedroom Apartments: Size: 3,000 sqft Why Invest Now? Below Market Rates Exceptional Value for Money Flexible Payment Plan Pay in Easy 2-Year Installments Developed by Renowned Builders with a Proven Track Record Located in Mumtaz City, Islamabad A Prime and Well-Connected Location High Investment Potential Ideal for Families and Investors Unmatched Amenities: 5-Star Lifestyle with Amenities, Including: State-of-the-Art Gym Infinity Swimming Pool Kids Play Area Jogging Tracks Multi-Purpose Community Hall High-Speed Elevators 24/7 Security and Surveillance Backup Power System Servant Rooms and Reserved Parking Payment Plan: 30% Down Payment 2 Years Easy Installments 10% on Possession Ready to View: Structure Completed Contact Us Today! Schedule your visit to the model apartment and secure your unit at the best rate. Limited Units Available Act Now!","Built in year, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building, Elevators, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Not Allowed, Other Facilities",,,
https://www.zameen.com/Property/islamabad_park_view_city_luxury_awaits_you_in_park_view_city_islamabad-52160089-10933-1.html,"Park View City, Islamabad",House,PKR3.5 Crore,4,5 Marla,For Sale,4,3 days ago,"Park View City, Islamabad, Islamabad Capital","Luxury Awaits You In Park View City, Islamabad! Own Your Dream Property Today Apartments, Bungalows, &Amp; Premium Plots! Why Park View City? Prime Location: Nestled Near The Diplomatic Enclave &Amp; Islamabad Highway. Unmatched Security: Gated Community With 24/7 Surveillance. World-Class Amenities: Parks, Schools, Mosques, Shopping Centers, And Healthcare Facilities. CDA-Approved: Legally Secure Investments With A Visionary Master Plan. Properties Available: Luxury Apartments Modern Designs With Panoramic Views. Ideal For Urban Living With Premium Finishes. Exclusive Bungalows Spacious Layouts, Private Gardens, And Bespoke Architecture. Perfect For Families Seeking Elegance And Privacy. Commercial Plots High-Footfall Zones For Thriving Businesses. Invest In Islamabads Next Commercial Hotspot! Residential Plots Customize Your Dream Home In A Serene, Green Environment. Available In Multiple Sizes To Suit Your Vision. Limited-Time Offers Flexible Payment Plans | Early-Bird Discounts | Zero Hidden Charges Act Now Limited Inventory!","Built in year, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/islamabad_top_city_1_studio_apartment_for_sale_in_top_city_1_islamabad-53212293-1383-1.html,"Top City 1, Islamabad",Flat,PKR29 Lakh,-,1 Marla,For Sale,-,4 months ago,"Top City 1, Islamabad, Islamabad Capital",studio apartment for sale in top city 1 Islamabad open kitchen attach bath Room 232 square feet 15k rent out,"Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Waste Disposal, Service Elevators in Building, Furnished","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines","Community Lawn or Garden, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Sauna, Jacuzzi","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Security Staff, Other Facilities",,,
https://www.zameen.com/Property/bahria_enclave_bahria_enclave_-_sector_c1_2_bed_apartment_for_sale_beautiful_location_in_sector_c1_bahria_enclave_islamabad-45806634-11987-1.html,"Bahria Enclave - Sector C1, Bahria Enclave",Flat,PKR1.05 Crore,2,4.7 Marla,For Sale,2,19 hours ago,"Bahria Town, Islamabad, Islamabad Capital",2 Bed Apartment With Attached Washrooms Size 1050 Sq Feet Margalla Face Tv Lounge Balcony 1 Kitchen Call Us For More Details.,"Built in year: 2023, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 2, Floors in Building: 5, Elevators: 1, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Pets Allowed, Other Facilities",,,
https://www.zameen.com/Property/islamabad_g-13_g-13_1_kanal_50x90_luxury_house_available-53346225-330-1.html,"G-13, Islamabad",House,PKR16 Crore,7,1 Kanal,For Sale,6,3 months ago,"G-13, Islamabad, Islamabad Capital","Tri star marketing Brand New House For Sale Located At Prime Location Of G-13 Islamabad Size (50x90 ) 1 Kanal about The Property: 6 Bedrooms 7 Washrooms 2 Drawing Room 2 Kitchens 2 Tv Lounge Car Parking Tile Flooring 1 Double Unit House Ideal Locality Electricity & Gas Meters Are Available Water Boring Running & Also Water Supply Facility Available All Facilities Are Available Which Is The Need Of Living Near To Main Double Road And Kashmir Highway Near To School, college, market, masjid public Transport, hospitals And Etc. Located In One Of The Best Locations Of G-13 Islamabad just Call Us For Visit. . . -----------------------------------------------------------------------------------------","Double Glazed Windows, Central Air Conditioning, Central Heating, Waste Disposal","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom","Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi",,,,,
https://www.zameen.com/Property/top_city_1_top_city_1_-_block_a_a_block_10_marla_brand_new_house_for_sale-52836036-9231-1.html,"Top City 1 - Block A, Top City 1",House,PKR4.6 Crore,6,10 Marla,For Sale,5,4 days ago,"Top City 1, Islamabad, Islamabad Capital","A Block 10 Marla House for Sale 10 Marla House for Sale Elegant & Spacious Living Discover this beautifully designed 10 Marla house, offering a perfect blend of elegance and modern comfort. Located in a prime residential area, this home is ideal for families looking for luxury, space, and a peaceful environment. Property Features: Classic Architectural Design with premium finishing Spacious Bedrooms with attached modern bathrooms Grand Drawing & Dining Room for formal gatherings Stylish TV Lounge for comfortable family time Modern Kitchen with high-quality fittings Beautiful Lawn & Terrace for a refreshing outdoor experience Car Parking Space for multiple vehicles Secure & Peaceful Neighborhood with all essential amenities","Built in year: 2025, Parking Spaces: 2, Double Glazed Windows, Flooring, Floors: 2","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Lounge or Sitting Room",,"Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Mosque, Community Centre",Lawn or Garden,"Nearby Schools, Nearby Restaurants, Nearby Public Transport Service","Maintenance Staff, Security Staff, Facilities for Disabled",,,
