Scraped_URL,Type,Price,Bath(s),Area,Purpose,Bedroom(s),Added,Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Nearby Locations and Other Facilities,Amenities: Other Facilities,Initial Amount,Monthly Installment,Remaining Installments
https://www.zameen.com/Property/top_city_1_top_city_1_-_block_i_a_flat_of_356_square_feet_in_islamabad-52750951-16278-1.html,Flat,PKR36 Lakh,1,1.6 Marla,For Sale,-,3 days ago,"Top City 1, Islamabad, Islamabad Capital","Luxury Apartment Is Available For Sale On Eeasy Installments Plan Down Payment: 360,000. PKR. Monthly Installment : 25,000. PKR 1.15% special discount on full cash payment at the time of booking. 2. All installments must be paid by the allottees as per the payment schedule agreed by the allottee between 1st to 10th of each month, 3. and the allottee shall abide by the terms & conditions as mentioned in the booking/application form. 4. All extra charges will be paid within 180 days from the date of booking. 5. The allocation of the unit shall remain a Provisional Unit until the company receives full & final payment. 6. Documentation charges for Lease, Utility Connection Charges & Generator COC, will be charged separately as and 7. when demanded by the company as these charges are not included in the above-mentioned cost. 8. All discounts will be valid subject to regular payments. 9. All payments are to be made through cheques/pay orders in favour of DA VISIONERS BUILDERS.","Built in year: 2025, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Elevators: 2, Service Elevators in Building, Other Main Features","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/islamabad_top_city_1_790_square_feet_flat_for_sale_in_top_city_1_top_city_1_in_only_rs_8000000-52787785-1383-1.html,Flat,PKR80 Lakh,2,3.5 Marla,For Sale,2,3 days ago,"Top City 1, Islamabad, Islamabad Capital","Luxury Apartment Is Available For Sale On Eeasy Installments Plan Down Payment: 800,000. PKR. Monthly Installment : 60,000. PKR 1.15% special discount on full cash payment at the time of booking. 2. All installments must be paid by the allottees as per the payment schedule agreed by the allottee between 1st to 10th of each month, 3. and the allottee shall abide by the terms & conditions as mentioned in the booking/application form. 4. All extra charges will be paid within 180 days from the date of booking. 5. The allocation of the unit shall remain a Provisional Unit until the company receives full & final payment. 6. Documentation charges for Lease, Utility Connection Charges & Generator COC, will be charged separately as and 7. when demanded by the company as these charges are not included in the above-mentioned cost. 8. All discounts will be valid subject to regular payments. 9. All payments are to be made through cheques/pay orders in favour of DA VISIONERS BUILDERS.","Built in year: 2021, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 8, Bathrooms: 8, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/islamabad_top_city_1_flat_in_top_city_1_sized_790_square_feet_is_available-52787782-1383-1.html,Flat,PKR80 Lakh,2,3.5 Marla,For Sale,2,3 days ago,"Top City 1, Islamabad, Islamabad Capital","Luxury Apartment Is Available For Sale On Eeasy Installments Plan Down Payment: 800,000. PKR. Monthly Installment : 60,000. PKR 1.15% special discount on full cash payment at the time of booking. 2. All installments must be paid by the allottees as per the payment schedule agreed by the allottee between 1st to 10th of each month, 3. and the allottee shall abide by the terms & conditions as mentioned in the booking/application form. 4. All extra charges will be paid within 180 days from the date of booking. 5. The allocation of the unit shall remain a Provisional Unit until the company receives full & final payment. 6. Documentation charges for Lease, Utility Connection Charges & Generator COC, will be charged separately as and 7. when demanded by the company as these charges are not included in the above-mentioned cost. 8. All discounts will be valid subject to regular payments. 9. All payments are to be made through cheques/pay orders in favour of DA VISIONERS BUILDERS.","Built in year: 2025, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/islamabad_e-7_modern_brand-new_swimming_pool_house_is_for_sale-52561985-343-1.html,House,PKR75 Crore,7,1.6 Kanal,For Sale,6,2 weeks ago,"E-7, Islamabad, Islamabad Capital","Chohan HAY Estate Offers: - E-7 Brand New House - Basement, Ground, and Upper Floor - 6 Bedrooms with Modern Attached Bathrooms - Drawing, Dining, and TV Lounge - High-quality Finishes, Enriching Interiors, and Family Rooms with Walk-in Closets - Elegant Modern Kitchens with Quartz Countertops, Cabinetry, and Appliances (Refrigerator, Garbage Disposal, Microwave) - Luxurious Bathrooms with Roman Showers, Separate Shower Cabins, Vanities, and Premium Fixtures - Enjoyable Swimming Pool - Elevator Lift - Ceiling Roof - Flooring with Imported Tiles - Outdoor Lawn - Servant Quarters - Parking Area - Rooftop - Views of Margalla Hills and Sunset - Serene and Highly Secure Living Environment - An Outstanding Opportunity: Seize It Without Delay For Further Details and Additional Choices, Feel Free to Contact the Provided Numbers or Visit Chohan HAY Estate.","Built in year: 2025, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 6, Bathrooms: 7, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/d_12_d-12_4_d-12_4_brand_new_designer_house_for_sale-52661763-3157-1.html,House,PKR4.4 Crore,4,4.4 Marla,For Sale,4,4 days ago,"D-12, Islamabad, Islamabad Capital","Details: D-12/4 Size 25*40.4. 4 Marla Price 4.40 Cr Investor Rate Accommodations and Facilities: 4 Beds with Attached Baths TV Lounge kitchen Servant Quarter Car Parking Electric Meters Water Boring Solid Construction, Best Quality windows, Wooden Doors, Stylish Roof Selling, Best Sanitary work etc Top location , VIP Area, Near Family Park, Markaz, Masjid, Service Road and many more. Neat and Clean Environment. Best Option for Living For More Information, Please Contact. Note: Our Special Sectors: D-12, E-12, E-11 and C-14,15,16 We are Dealing in all types of Properties. Residential/Commercial in all CDA Sectors THANKS To Connecting Us","Built in year: 2025, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 4, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/soan_garden_soan_garden_-_block_h_beautiful_10_marla_house_for_sale-53335468-3498-1.html,House,PKR3.25 Crore,5,10 Marla,For Sale,5,1 month ago,"Soan Garden, Islamabad, Islamabad Capital",beautiful 10 Marla house for sale 5 bed beautiful construction water bore electricity meters gas is applied since 3 yrs house is empty only servant lives as owners were in uk urgent sale no foolish offers price is already very reasonable,"Built in year: 2020, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 5, Bathrooms: 6, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled",,,
https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_b_17_f_block_designer_house_25x50_for_sale-53334961-8527-1.html,House,PKR2.25 Crore,5,5 Marla,For Sale,4,1 month ago,"B-17, Islamabad, Islamabad Capital","""Luxury 5 Marla Designer House in F Block, B-17"" ""Elegant Designer Double Unit 5 Marla, F Block B-17""","Built in year: 2021, Parking Spaces: 2, Flooring, Electricity Backup, Waste Disposal, Floors: 2","Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room",,"Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque",Lawn or Garden,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service","Maintenance Staff, Security Staff, Facilities for Disabled",,,
https://www.zameen.com/Property/islamabad_bani_gala_beautiful_brand_new_house-53335025-340-1.html,House,PKR1.38 Crore,4,5 Marla,For Sale,3,4 weeks ago,"Bani Gala, Islamabad, Islamabad Capital",5 Marla Semi Double 3 Bedrooms 4 Baths Drawing Tv Lounge Kitchen Mumty Laundry Car Parking,"Built in year: 2021, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
https://www.zameen.com/Property/islamabad_mumtaz_city_luxury_apartments_in_mumtaz_city_below_market_rates_2-year_installments-52023810-3464-1.html,Flat,PKR2.4 Crore,3,7.1 Marla,For Sale,3,4 days ago,"Mumtaz City, Islamabad, Islamabad Capital","Luxury Apartments in Mumtaz City, Islamabad Best Time to Invest Below Market Rates! Apartment Options: 2-Bedroom Apartments: Sizes: 1,172 sqft to 2,200 sqft 3-Bedroom Apartments: Sizes: 1,600 sqft to 2,560 sqft 4-Bedroom Apartments: Size: 3,000 sqft Why Invest Now? Below Market Rates Exceptional Value for Money Flexible Payment Plan Pay in Easy 2-Year Installments Developed by Renowned Builders with a Proven Track Record Located in Mumtaz City, Islamabad A Prime and Well-Connected Location High Investment Potential Ideal for Families and Investors Unmatched Amenities: 5-Star Lifestyle with Amenities, Including: State-of-the-Art Gym Infinity Swimming Pool Kids Play Area Jogging Tracks Multi-Purpose Community Hall High-Speed Elevators 24/7 Security and Surveillance Backup Power System Servant Rooms and Reserved Parking Payment Plan: 30% Down Payment 2 Years Easy Installments 10% on Possession Ready to View: Structure Completed Contact Us Today! Schedule your visit to the model apartment and secure your unit at the best rate. Limited Units Available Act Now!","Built in year, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building, Elevators, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Not Allowed, Other Facilities",,,
https://www.zameen.com/Property/islamabad_park_view_city_luxury_awaits_you_in_park_view_city_islamabad-52160089-10933-1.html,House,PKR3.5 Crore,4,5 Marla,For Sale,4,4 days ago,"Park View City, Islamabad, Islamabad Capital","Luxury Awaits You In Park View City, Islamabad! Own Your Dream Property Today Apartments, Bungalows, &Amp; Premium Plots! Why Park View City? Prime Location: Nestled Near The Diplomatic Enclave &Amp; Islamabad Highway. Unmatched Security: Gated Community With 24/7 Surveillance. World-Class Amenities: Parks, Schools, Mosques, Shopping Centers, And Healthcare Facilities. CDA-Approved: Legally Secure Investments With A Visionary Master Plan. Properties Available: Luxury Apartments Modern Designs With Panoramic Views. Ideal For Urban Living With Premium Finishes. Exclusive Bungalows Spacious Layouts, Private Gardens, And Bespoke Architecture. Perfect For Families Seeking Elegance And Privacy. Commercial Plots High-Footfall Zones For Thriving Businesses. Invest In Islamabads Next Commercial Hotspot! Residential Plots Customize Your Dream Home In A Serene, Green Environment. Available In Multiple Sizes To Suit Your Vision. Limited-Time Offers Flexible Payment Plans | Early-Bird Discounts | Zero Hidden Charges Act Now Limited Inventory!","Built in year, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities",,,
